ts_code,trade_date,open,high,low,close,vol,amount,pct_chg,ma_short,ma_long,signal,trade,position,market_return,strategy_return,strategy_nav,buy_hold_nav,drawdown
600276.SH,2025-12-04,61.01,61.49,60.97,61.25,180407.66,1103403.553,0.4592,61.472,61.40466666666667,1,0.0,1.0,0.004592422502870175,0.004592422502870175,1.1352175727182172,1.1500187758167488,-0.08515301277761744
600276.SH,2025-12-05,61.19,61.79,60.7,61.62,231176.15,1418750.952,0.6041,61.379999999999995,61.31933333333334,1,0.0,1.0,0.00604081632653064,0.00604081632653064,1.142075213565658,1.1569658280135193,-0.07962659016092699
600276.SH,2025-12-08,62.6,63.55,61.92,62.46,508617.59,3186857.202,1.3632,61.484,61.36333333333333,1,0.0,1.0,0.01363193768257065,0.01363193768257065,1.1576439117057935,1.1727375140818634,-0.06708011719330587
600276.SH,2025-12-09,62.32,64.15,62.3,63.08,493593.39,3131342.824,0.9926,61.876,61.45,1,0.0,1.0,0.009926352865833987,0.009926352865833987,1.1691350936663696,1.184378520465641,-0.05781962524101403
600276.SH,2025-12-10,63.15,63.56,62.27,63.38,288959.61,1820981.675,0.4756,62.35799999999999,61.60133333333333,1,0.0,1.0,0.004755865567533268,0.004755865567533268,1.1746953430021323,1.1900112654900494,-0.05333874203829214
600276.SH,2025-12-11,63.56,63.94,63.11,63.4,247061.27,1569053.154,0.0316,62.788,61.785999999999994,1,0.0,1.0,0.00031555695803087147,0.00031555695803087147,1.1750660262911832,1.19038678182501,-0.053040016491444075
600276.SH,2025-12-12,63.28,63.28,62.26,63.28,315629.26,1984535.365,-0.1893,63.11999999999999,62.038,1,0.0,1.0,-0.0018927444794952786,-0.0018927444794952786,1.1728419265568781,1.1881336838152465,-0.05483236977253281
600276.SH,2025-12-15,62.68,62.68,61.38,61.38,290072.2,1796682.727,-3.0025,62.903999999999996,62.086,1,0.0,1.0,-0.03002528445006314,-0.03002528445006314,1.137627014097048,1.1524596319939924,-0.08321129672310446
600276.SH,2025-12-16,61.38,61.49,58.68,59.15,523784.86,3112549.391,-3.6331,62.117999999999995,61.97066666666667,1,0.0,1.0,-0.036331052460084834,-0.036331052460084834,1.0962958273678785,1.1105895606458887,-0.11651919519667042
600276.SH,2025-12-17,59.35,60.8,59.01,60.3,330417.82,1980882.81,1.9442,61.501999999999995,61.833333333333336,0,-1.0,1.0,0.019442096365173356,0.019442096365173356,1.117610116488302,1.1321817499061215,-0.09934247625290327
600276.SH,2025-12-18,60.05,60.57,59.95,60.0,179309.29,1078752.36,-0.4975,60.822,61.693999999999996,0,0.0,0.0,-0.00497512437810943,-0.001,1.1164925063718139,1.126549004881713,-0.1002431337766504
600276.SH,2025-12-19,60.07,61.38,59.91,60.85,288358.42,1753822.164,1.4167,60.336,61.611999999999995,0,0.0,0.0,0.01416666666666666,0.0,1.1164925063718139,1.1425084491175372,-0.1002431337766504
600276.SH,2025-12-22,60.81,61.5,60.33,60.93,236709.24,1444845.737,0.1315,60.246,61.544666666666664,0,0.0,0.0,0.001314708299096079,0.0,1.1164925063718139,1.1440105144573796,-0.1002431337766504
600276.SH,2025-12-23,60.85,62.56,60.84,61.8,329190.95,2037549.674,1.4279,60.775999999999996,61.59,0,0.0,0.0,0.014278680452978865,0.0,1.1164925063718139,1.1603454750281645,-0.1002431337766504
600276.SH,2025-12-24,61.67,62.0,61.08,61.23,250502.06,1539580.672,-0.9223,60.962,61.60733333333333,0,0.0,0.0,-0.00922330097087376,-0.0,1.1164925063718139,1.1496432594817882,-0.1002431337766504
600276.SH,2025-12-25,61.22,61.66,61.03,61.4,155181.75,952122.26,0.2776,61.242,61.617333333333335,0,0.0,0.0,0.0027764167891557445,0.0,1.1164925063718139,1.1528351483289532,-0.1002431337766504
600276.SH,2025-12-26,61.3,61.66,60.6,61.06,214307.81,1311044.16,-0.5537,61.28399999999999,61.58,0,0.0,0.0,-0.005537459283387558,-0.0,1.1164925063718139,1.1464513706346235,-0.1002431337766504
600276.SH,2025-12-29,61.06,61.27,60.41,60.51,285751.62,1737055.879,-0.9008,61.2,61.45,0,0.0,0.0,-0.009007533573534343,-0.0,1.1164925063718139,1.1361246714232076,-0.1002431337766504
600276.SH,2025-12-30,60.4,60.6,59.9,60.18,253304.61,1525944.032,-0.5454,60.876,61.25666666666667,0,0.0,0.0,-0.005453644025780857,-0.0,1.1164925063718139,1.1299286518963583,-0.1002431337766504
600276.SH,2025-12-31,60.16,60.36,59.5,59.57,268278.96,1603948.702,-1.0136,60.544000000000004,61.00266666666666,0,0.0,0.0,-0.010136257892987666,-0.0,1.1164925063718139,1.1184754036800608,-0.1002431337766504
